Assembly	recycler
# contigs (>= 0 bp)	1
# contigs (>= 1000 bp)	1
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	1
# contigs (>= 50000 bp)	1
Total length (>= 0 bp)	111539
Total length (>= 1000 bp)	111539
Total length (>= 5000 bp)	111539
Total length (>= 10000 bp)	111539
Total length (>= 25000 bp)	111539
Total length (>= 50000 bp)	111539
# contigs	1
Largest contig	111539
Total length	111539
Reference length	246923
GC (%)	48.92
Reference GC (%)	50.44
N50	111539
N75	111539
L50	1
L75	1
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	45.169
Duplication ratio	1.000
# N's per 100 kbp	0.00
# mismatches per 100 kbp	0.90
# indels per 100 kbp	1.79
Largest alignment	111532
Total aligned length	111532
NA50	111532
NGA50	-
NA75	111532
LA50	1
LA75	1
