Assembly	recycler
# contigs (>= 0 bp)	1
# contigs (>= 1000 bp)	1
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	1
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	37551
Total length (>= 1000 bp)	37551
Total length (>= 5000 bp)	37551
Total length (>= 10000 bp)	37551
Total length (>= 25000 bp)	37551
Total length (>= 50000 bp)	0
# contigs	1
Largest contig	37551
Total length	37551
Reference length	39943
GC (%)	41.16
Reference GC (%)	41.92
N50	37551
NG50	37551
N75	37551
NG75	37551
L50	1
LG50	1
L75	1
LG75	1
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	94.011
Duplication ratio	1.000
# N's per 100 kbp	0.00
# mismatches per 100 kbp	0.00
# indels per 100 kbp	2.66
Largest alignment	37551
Total aligned length	37551
NA50	37551
NGA50	37551
NA75	37551
NGA75	37551
LA50	1
LGA50	1
LA75	1
LGA75	1
