Assembly	recycler
# contigs (>= 0 bp)	2
# contigs (>= 1000 bp)	2
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	2
# contigs (>= 25000 bp)	2
# contigs (>= 50000 bp)	1
Total length (>= 0 bp)	114907
Total length (>= 1000 bp)	114907
Total length (>= 5000 bp)	114907
Total length (>= 10000 bp)	114907
Total length (>= 25000 bp)	114907
Total length (>= 50000 bp)	71286
# contigs	2
Largest contig	71286
Total length	114907
Reference length	209428
GC (%)	54.56
Reference GC (%)	52.68
N50	71286
NG50	43621
N75	43621
L50	1
LG50	2
L75	2
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# unaligned mis. contigs	0
# unaligned contigs	1 + 0 part
Unaligned length	71286
Genome fraction (%)	20.829
Duplication ratio	1.000
# N's per 100 kbp	0.00
# mismatches per 100 kbp	0.00
# indels per 100 kbp	0.00
Largest alignment	43621
Total aligned length	43621
NGA50	-
