Assembly	recycler
# contigs (>= 0 bp)	2
# contigs (>= 1000 bp)	2
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	1
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	39793
Total length (>= 1000 bp)	39793
Total length (>= 5000 bp)	37697
Total length (>= 10000 bp)	37697
Total length (>= 25000 bp)	37697
Total length (>= 50000 bp)	0
# contigs	2
Largest contig	37697
Total length	39793
Reference length	141516
GC (%)	41.94
Reference GC (%)	47.74
N50	37697
N75	37697
L50	1
L75	1
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	28.119
Duplication ratio	1.000
# N's per 100 kbp	0.00
# mismatches per 100 kbp	0.00
# indels per 100 kbp	0.00
Largest alignment	37697
Total aligned length	39793
NA50	37697
NGA50	-
NA75	37697
LA50	1
LA75	1
