Assembly	recycler
# contigs (>= 0 bp)	2
# contigs (>= 1000 bp)	2
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	1
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	38880
Total length (>= 1000 bp)	38880
Total length (>= 5000 bp)	37552
Total length (>= 10000 bp)	37552
Total length (>= 25000 bp)	37552
Total length (>= 50000 bp)	0
# contigs	2
Largest contig	37552
Total length	38880
Reference length	136668
GC (%)	41.80
Reference GC (%)	47.51
N50	37552
N75	37552
L50	1
L75	1
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# unaligned mis. contigs	0
# unaligned contigs	1 + 0 part
Unaligned length	1328
Genome fraction (%)	27.477
Duplication ratio	1.000
# N's per 100 kbp	0.00
# mismatches per 100 kbp	0.00
# indels per 100 kbp	2.66
Largest alignment	37552
Total aligned length	37552
NA50	37552
NGA50	-
NA75	37552
LA50	1
LA75	1
