Assembly	recycler
# contigs (>= 0 bp)	1
# contigs (>= 1000 bp)	1
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	1958
Total length (>= 1000 bp)	1958
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	1
Largest contig	1958
Total length	1958
Reference length	92624
GC (%)	38.92
Reference GC (%)	47.84
N50	1958
N75	1958
L50	1
L75	1
# unaligned contigs	1 + 0 part
Unaligned length	1958
# N's per 100 kbp	0.00
NGA50	-
