organism	database_plasmids_ncbi	database_plasmids_mob
Bacillus velezensis	2	0
Bacteroides cellulosilyticus	2	0
Bacteroides fragilis	5	0
Bacteroides salanitronis	3	0
Bacteroides thetaiotaomicron	1	0
Bartonella grahamii	3	0
Bartonella schoenbuchensis	2	0
Bartonella sp.	1	0
Bartonella tribocorum	3	0
Beet leafhopper	2	0
Beijerinckia indica	2	0
Bhargavaea cecembensis	2	0
Bibersteinia trehalosi	1	0
Bifidobacterium asteroides	1	0
Bifidobacterium bifidum	1	0
Bifidobacterium breve	2	0
Bifidobacterium catenulatum	1	0
Bifidobacterium kashiwanohense	2	0
Bifidobacterium longum	21	0
Bifidobacterium pseudocatenulatum	1	0
Bifidobacterium pseudolongum	1	0
Bifidobacterium sp.	1	0
Blattabacterium sp.	7	0
Blumeria graminis	1	0
Bordetella bronchiseptica	1	0
Bordetella parapertussis	1	0
Bordetella pertussis	1	0
Borrelia crocidurae	39	0
Borrelia duttonii	17	0
Borrelia hermsii	1	0
Borrelia miyamotoi	1	0
Borrelia recurrentis	7	0
Borreliella afzelii	54	0
Borreliella bavariensis	2	0
Borreliella bissettii	16	0
Borreliella burgdorferi	252	0
Borreliella chilensis	2	0
Borreliella finlandensis	9	0
Borreliella garinii	20	0
Borreliella spielmanii	8	0
Borreliella valaisiana	13	0
Brachyspira hyodysenteriae	1	0
Brachyspira intermedia	1	0
Bradyrhizobium sp.	1	0
Brassica napus	2	0
Brevibacillus borstelensis	1	0
Brevibacillus laterosporus	2	0
Brevibacterium linens	1	0
Brevibacterium sp.	1	0
Buchnera aphidicola	21	0
Burkholderia ambifaria	3	0
Burkholderia cenocepacia	2	0
Burkholderia cepacia	5	0
Burkholderia gladioli	7	0
Burkholderia glumae	8	0
Burkholderia insecticola	2	0
Burkholderia multivorans	2	0
Burkholderia plantarii	1	0
Burkholderia pseudomallei	3	0
Burkholderia pyrrocinia	1	0
Burkholderia sp.	10	0
Burkholderia thailandensis	1	0
Burkholderia vietnamiensis	6	0
Butyrivibrio fibrisolvens	2	0
Butyrivibrio proteoclasticus	2	0
Caedibacter taeniospiralis	1	0
Caldicellulosiruptor bescii	2	0
Caldicellulosiruptor kristjanssonii	1	0
Calditerrivibrio nitroreducens	1	0
Calothrix sp.	6	0
Campylobacter coli	17	0
Campylobacter concisus	2	0
Campylobacter fetus	7	0
Campylobacter hominis	1	0
Campylobacter iguaniorum	1	0
Campylobacter jejuni	20	0
Campylobacter lari	3	0
Campylobacter peloridis	2	0
Candidatus Accumulibacter	3	0
Candidatus Azobacteroides	4	0
Candidatus Baumannia	1	0
Candidatus Hamiltonella	1	0
Candidatus Ishikawaella	1	0
Candidatus Pantoea	4	0
Candidatus Paracaedibacter	3	0
Candidatus Paracaedimonas	4	0
Candidatus Photodesmus	1	0
Candidatus Phytoplasma	4	0
Candidatus Profftella	2	0
Candidatus Regiella	1	0
Candidatus Riesia	1	0
Candidatus Sulfuricurvum	1	0
Candidatus Tenderia	1	0
Candidatus Tremblaya	1	0
Capnocytophaga canimorsus	1	0
Cardinium endosymbiont	1	0
Carnobacterium inhibens	5	0
Carnobacterium sp.	1	0
Caulobacter sp.	2	0
Celeribacter indicus	5	0
Chamaesiphon minutus	2	0
Chelativorans sp.	3	0
Chelatococcus sp.	1	0
Chinaberry witches'-broom	1	0
Chlamydia avium	1	0
Chlamydia caviae	1	0
Chlamydia felis	1	0
Chlamydia muridarum	1	0
Chlamydia pneumoniae	2	0
Chlamydia psittaci	14	0
Chlamydia suis	1	0
Chlamydia trachomatis	52	0
Chlorobium limicola	1	0
Chroococcidiopsis thermalis	2	0
Citrobacter amalonaticus	1	0
Citrobacter freundii	27	16
Citrobacter koseri	2	0
Citrobacter rodentium	4	0
Clavibacter michiganensis	9	0
Clostridioides difficile	4	0
Clostridium aceticum	1	0
Clostridium acetobutylicum	4	0
Clostridium baratii	1	0
Clostridium botulinum	44	0
Clostridium butyricum	2	0
Clostridium carboxidivorans	2	0
Clostridium haemolyticum	1	0
Clostridium kluyveri	2	0
Clostridium novyi	9	0
Clostridium pasteurianum	1	0
Clostridium perfringens	23	0
Clostridium saccharoperbutylacetonicum	1	0
Clostridium sp.	3	0
Clostridium tetani	2	0
Collimonas arenae	1	0
Collimonas fungivorans	1	0
Comamonadaceae bacterium	1	0
Comamonas sp.	1	0
Comamonas testosteroni	5	0
Commensalibacter sp.	2	0
Confluentimicrobium sp.	3	0
Corynebacterium atypicum	1	0
Corynebacterium aurimucosum	1	0
Corynebacterium callunae	2	0
Corynebacterium casei	3	0
Corynebacterium deserti	2	0
Corynebacterium diphtheriae	2	0
Corynebacterium doosanense	1	0
Corynebacterium efficiens	2	0
Corynebacterium falsenii	1	0
Corynebacterium glutamicum	18	0
Corynebacterium glyciniphilum	1	0
Corynebacterium halotolerans	1	0
Corynebacterium jeikeium	7	0
Corynebacterium marinum	2	0
Corynebacterium maris	1	0
Corynebacterium mustelae	2	0
Corynebacterium renale	1	0
Corynebacterium resistens	1	0
Corynebacterium sp.	2	0
Corynebacterium striatum	1	0
Corynebacterium tuberculostearicum	1	0
Corynebacterium ulcerans	1	0
Corynebacterium ureicelerivorans	1	0
Coxiella burnetii	10	0
Crinalium epipsammum	8	0
Croceicoccus naphthovorans	2	0
Cronobacter condimenti	1	0
Cronobacter dublinensis	1	0
Cronobacter malonaticus	2	0
Cronobacter sakazakii	12	0
Cronobacter turicensis	3	0
Cronobacter universalis	1	0
Cupriavidus metallidurans	5	0
Cupriavidus necator	3	0
Cupriavidus pinatubonensis	2	0
Cupriavidus taiwanensis	3	0
Cutibacterium acnes	1	0
Cutibacterium granulosum	1	0
Cyanobacterium aponinum	1	0
Cyanothece sp.	26	0
Cycloclasticus zancles	1	0
Cylindrospermum sp.	2	0
Cylindrospermum stagnale	3	0
Deferribacter desulfuricans	1	0
Deinococcus deserti	3	0
Deinococcus geothermalis	2	0
Deinococcus gobiensis	6	0
Deinococcus peraridilitoris	2	0
Deinococcus proteolyticus	4	0
Deinococcus radiodurans	2	0
Deinococcus radiopugnans	1	0
Delftia acidovorans	4	0
Delftia sp.	1	0
Dermacoccus nishinomiyaensis	1	0
Desulfobacterium autotrophicum	1	0
Desulfocapsa sulfexigens	1	0
Desulfohalobium retbaense	1	0
Desulfomonile tiedjei	1	0
Desulfosporosinus acidiphilus	2	0
Desulfovibrio gigas	1	0
Desulfovibrio hydrothermalis	1	0
Desulfovibrio magneticus	2	0
Desulfovibrio sp.	2	0
Desulfovibrio vulgaris	3	0
Desulfurella acetivorans	1	0
Dichelobacter nodosus	1	0
Dictyostelium discoideum	1	0
Dictyostelium firmibasis	1	0
Dictyostelium giganteum	1	0
Dinoroseobacter shibae	5	0
Edwardsiella anguillarum	2	0
Edwardsiella ictaluri	9	0
Edwardsiella tarda	3	0
Eikenella corrodens	1	0
Emticicia oligotrophica	5	0
Ensifer adhaerens	2	0
Enterobacter asburiae	8	6
Enterobacter cloacae	37	19
Enterobacter hormaechei	27	4
Enterobacter sp.	4	0
Enterococcus durans	5	0
Enterococcus faecalis	27	0
Enterococcus faecium	34	0
Enterococcus gallinarum	1	0
Enterococcus hirae	1	0
Enterococcus mundtii	5	0
Enterococcus sp.	0	1
Erwinia amylovora	26	0
Erwinia billingiae	2	0
Erwinia pyrifoliae	9	0
Erwinia sp.	6	0
Erwinia tasmaniensis	5	0
Erysipelothrix rhusiopathiae	1	0
Escherichia coli	259	8
Escherichia fergusonii	6	0
Escherichia sp.	1	0
Estrella lausannensis	1	0
Exiguobacterium arabatum	2	0
Exiguobacterium sibiricum	2	0
Exiguobacterium sp.	6	0
Fibrella aestuarina	1	0
Fibrisoma limi	3	0
Finegoldia magna	1	0
Flavobacterium branchiophilum	1	0
Flavobacterium psychrophilum	1	0
Flavobacterium sp.	2	0
Fluoribacter dumoffii	4	0
Francisella philomiragia	9	0
Francisella tularensis	6	0
Frankia symbiont	2	0
Frankia torreyi	1	0
Frederiksenia canicola	1	0
Fusarium oxysporum	2	0
Fusarium proliferatum	1	0
Fusobacterium hwasookii	1	0
Fusobacterium nucleatum	10	0
Gallibacterium anatis	1	0
Gayadomonas joobiniege	1	0
Geoalkalibacter subterraneus	1	0
Geobacillus genomosp.	1	0
Geobacillus kaustophilus	1	0
Geobacillus sp.	9	0
Geobacillus stearothermophilus	4	0
Geobacillus thermodenitrificans	1	0
Geobacter lovleyi	1	0
Geobacter metallireducens	1	0
Glaciecola sp.	1	0
Glaesserella parasuis	8	0
Gloeocapsa sp.	4	0
Gluconacetobacter diazotrophicus	3	0
Gluconobacter oxydans	8	0
Glutamicibacter arilaitensis	2	0
Gordonia bronchialis	1	0
Gordonia polyisoprenivorans	1	0
Gordonia sp.	3	0
Gordonia westfalica	1	0
Gottschalkia acidurici	1	0
Gracilaria chilensis	2	0
Gracilaria robusta	2	0
Gracilariopsis lemaneiformis	1	0
Granulicella tundricola	5	0
Haemophilus influenzae	17	0
Haemophilus parainfluenzae	1	0
Hafnia alvei	2	0
Halalkalicoccus jeotgali	6	0
Halanaeroarchaeum sulfurireducens	2	0
Haliscomenobacter hydrossis	3	0
Haloarcula hispanica	3	0
Haloarcula marismortui	7	0
Haloarcula sp.	6	0
Halobacillus halophilus	2	0
Halobacteriovorax marinus	1	0
Halobacterium hubeiense	3	0
Halobacterium salinarum	8	0
Halobacterium sp.	2	0
Haloferax gibbonsii	4	0
Haloferax lucentense	1	0
Haloferax mediterranei	6	0
Haloferax volcanii	5	0
Halogeometricum borinquense	5	0
Halomicrobium mukohataei	1	0
Halomonas sp.	4	0
Halopiger xanaduensis	3	0
Haloquadratum walsbyi	4	0
Halorhabdus tiamatea	1	0
Halorubrum lacusprofundi	1	0
Halorubrum saccharovorum	1	0
Halorubrum sp.	1	0
Halostagnicola larsenii	4	0
Haloterrigena thermotolerans	1	0
Haloterrigena turkmenica	6	0
Helicobacter acinonychis	1	0
Helicobacter bizzozeronii	1	0
Helicobacter cetorum	2	0
Helicobacter cinaedi	1	0
Helicobacter pylori	42	0
Herpetosiphon aurantiacus	2	0
Heterostelium pallidum	1	0
Hirschia baltica	1	0
Histophilus somni	3	0
Hoeflea sp.	2	0
Hoyosella subflava	2	0
Hungateiclostridium thermocellum	3	0
Hymenobacter sp.	6	0
Hymenobacter swuensis	3	0
Ilyobacter polytropus	2	0
Isosphaera pallida	1	0
Jannaschia sp.	1	0
Jeotgalibacillus malaysiensis	1	0
Ketogulonicigenium vulgare	4	0
Kineococcus radiotolerans	2	0
Klebsiella aerogenes	4	2
Klebsiella michiganensis	6	0
Klebsiella oxytoca	27	29
Klebsiella pneumoniae	187	121
Klebsiella sp.	1	0
Klebsiella variicola	3	0
Kluyvera intermedia	0	4
Komagataeibacter europaeus	5	0
Komagataeibacter medellinensis	7	0
Komagataeibacter xylinus	5	0
Lachancea fermentati	1	0
Lactobacillus acidophilus	2	0
Lactobacillus amylovorus	6	0
Lactobacillus brevis	25	0
Lactobacillus buchneri	6	0
Lactobacillus casei	16	0
Lactobacillus curvatus	1	0
Lactobacillus delbrueckii	7	0
Lactobacillus farciminis	4	0
Lactobacillus fermentum	10	0
Lactobacillus gasseri	1	0
Lactobacillus helveticus	5	0
Lactobacillus hilgardii	1	0
Lactobacillus hokkaidonensis	2	0
Lactobacillus johnsonii	2	0
Lactobacillus kefiranofaciens	2	0
Lactobacillus mucosae	1	0
Lactobacillus paracasei	22	0
Lactobacillus paraplantarum	1	0
Lactobacillus pentosus	1	0
Lactobacillus plantarum	53	0
Lactobacillus rennini	1	0
Lactobacillus reuteri	20	0
Lactobacillus rhamnosus	3	0
Lactobacillus sakei	5	0
Lactobacillus salivarius	13	0
Lactobacillus sanfranciscensis	2	0
Lactobacillus sp.	1	0
Lactococcus garvieae	6	0
Lactococcus lactis	85	0
Lactococcus piscium	2	0
Laribacter hongkongensis	2	0
Lawsonia intracellularis	6	0
Legionella fallonii	2	0
Legionella hackeliae	1	0
Legionella longbeachae	1	0
Legionella oakridgensis	1	0
Legionella pneumophila	4	0
Leisingera methylohalidivorans	2	0
Leptolyngbya boryana	1	0
Leptolyngbya foveolarum	1	0
Leptolyngbya sp.	1	0
Leptospira biflexa	2	0
Leptospira borgpetersenii	2	0
Leptospira interrogans	8	0
Leptospirillum ferrooxidans	2	0
Leuconostoc carnosum	4	0
Leuconostoc citreum	9	0
Leuconostoc kimchii	5	0
Leuconostoc mesenteroides	10	0
Limimaricola hongkongensis	2	0
Listeria grayi	1	0
Listeria innocua	2	0
Listeria monocytogenes	14	0
Lysinibacillus sphaericus	2	0
Macrococcus caseolyticus	8	0
Magnetospira sp.	1	0
Magnetospirillum magneticum	1	0
Mannheimia haemolytica	3	0
Mannheimia varigena	1	0
Marinitoga piezophila	1	0
Marinobacter adhaerens	2	0
Marinobacter hydrocarbonoclasticus	2	0
Marinobacter sp.	1	0
Marinococcus halophilus	1	0
Marinovum algicola	11	0
Marivirga tractuosa	1	0
Meiothermus silvanus	2	0
Melissococcus plutonius	3	0
Mesorhizobium ciceri	1	0
Mesorhizobium huakuii	2	0
Mesorhizobium japonicum	2	0
Mesotoga prima	1	0
Methanocaldococcus fervens	1	0
Methanocaldococcus jannaschii	2	0
Methanocaldococcus sp.	1	0
Methanocaldococcus vulcanius	2	0
Methanococcus maripaludis	3	0
Methanohalobium evestigatum	1	0
Methanohalophilus mahii	1	0
Methanomethylovorans hollandica	1	0
Methanosaeta harundinacea	1	0
Methanosarcina acetivorans	1	0
Methanosarcina barkeri	4	0
Methanosarcina sp.	1	0
Methanosarcina vacuolata	1	0
Methanothermobacter marburgensis	1	0
Methanothermobacter sp.	1	0
Methanothermobacter thermautotrophicus	4	0
Methanothermococcus okinawensis	1	0
Methanothrix soehngenii	1	0
Methylibium petroleiphilum	1	0
Methylibium sp.	2	0
Methylobacterium nodulans	7	0
Methylobacterium radiotolerans	8	0
Methylobacterium sp.	2	0
Methylomicrobium album	1	0
Methylomicrobium alcaliphilum	1	0
Methylophaga frappieri	1	0
Methylophaga thalassica	1	0
Methylorubrum extorquens	8	0
Methylorubrum populi	2	0
Methylovorus glucosetrophus	2	0
Microbacterium sp.	2	0
Micrococcus luteus	2	0
Micrococcus sp.	3	0
Microcoleus sp.	8	0
Microcystis aeruginosa	3	0
Micromonospora rosaria	1	0
Microscilla sp.	1	0
Moniliophthora roreri	3	0
Moraxella bovis	3	0
Moraxella bovoculi	1	0
Moraxella catarrhalis	2	0
Moraxella macacae	1	0
Moraxella sp.	2	0
Morganella morganii	3	0
Moritella viscosa	2	0
Mycobacterium avium	2	0
Mycobacterium celatum	1	0
Mycobacterium intracellulare	2	0
Mycobacterium kansasii	1	0
Mycobacterium liflandii	1	0
Mycobacterium marinum	3	0
Mycobacterium sp.	6	0
Mycobacterium ulcerans	1	0
Mycobacteroides abscessus	6	0
Mycolicibacterium chubuense	2	0
Mycolicibacterium gilvum	5	0
Mycoplasma capricolum	3	0
Mycoplasma cottewii	2	0
Mycoplasma leachii	1	0
Mycoplasma mycoides	4	0
Mycoplasma yeatsii	3	0
Myxococcus fulvus	1	0
Natranaerobius thermophilus	2	0
Natrialba magadii	3	0
Natrinema pellirubrum	2	0
Natrinema sp.	2	0
Natronobacterium sp.	1	0
Natronococcus occultus	2	0
Natronomonas pharaonis	2	0
Neisseria gonorrhoeae	12	0
Neisseria lactamica	13	0
Neisseria meningitidis	4	0
Neorhizobium galegae	3	0
Neurospora crassa	1	0
Neurospora intermedia	3	0
Nitrobacter hamburgensis	3	0
Nitrosococcus halophilus	1	0
Nitrosococcus oceani	1	0
Nitrosococcus watsonii	2	0
Nitrosomonas eutropha	2	0
Nitrosomonas sp.	4	0
Nitrosospira multiformis	3	0
Nocardia aobensis	1	0
Nocardia farcinica	6	0
Nocardia sp.	2	0
Nocardioides sp.	1	0
Nocardiopsis sp.	1	0
Nostoc azollae	2	0
Nostoc punctiforme	5	0
Nostoc sp.	9	0
Novosphingobium aromaticivorans	3	0
Novosphingobium pentaromativorans	7	0
Novosphingobium sp.	4	0
Oceanimonas sp.	2	0
Oceanithermus profundus	1	0
Ochrobactrum anthropi	7	0
Octadecabacter antarcticus	1	0
Octadecabacter arcticus	2	0
Octadecabacter temperatus	1	0
Oenococcus kitaharae	1	0
Oenococcus oeni	5	0
Oligotropha carboxidovorans	4	0
Onion yellows	11	0
Opitutaceae bacterium	1	0
Ornithobacterium rhinotracheale	1	0
Oscillatoria acuminata	2	0
Oscillatoria nigro-viridis	5	0
Oscillibacter valericigenes	1	0
Paenarthrobacter aurescens	2	0
Paenarthrobacter nicotinovorans	1	0
Paenibacillus alvei	4	0
Paenibacillus durus	1	0
Paenibacillus larvae	6	0
Paenibacillus polymyxa	4	0
Paenibacillus popilliae	1	0
Paenibacillus sp.	7	0
Paeniclostridium sordellii	3	0
Pandoraea apista	1	0
Pandoraea faecigallinarum	2	0
Pandoraea oxalativorans	4	0
Pandoraea vervacti	1	0
Pantoea agglomerans	1	0
Pantoea ananatis	3	0
Pantoea sp.	16	0
Pantoea vagans	3	0
Paraburkholderia caribensis	1	0
Paraburkholderia fungorum	1	0
Paraburkholderia phenoliruptrix	1	0
Paraburkholderia phymatum	2	0
Paraburkholderia phytofirmans	1	0
Paraburkholderia rhizoxinica	2	0
Paracoccus aestuarii	5	0
Paracoccus aminophilus	5	0
Paracoccus denitrificans	1	0
Paracoccus haeundaensis	2	0
Paracoccus marcusii	8	0
Paracoccus methylutens	1	0
Paracoccus pantotrophus	1	0
Parageobacillus thermoglucosidasius	2	0
Pasteurella multocida	14	0
Pasteurella stomatis	1	0
Paulownia witches'-broom	2	0
Peanut witches'-broom	2	0
Pectobacterium atrosepticum	4	0
Pediococcus acidilactici	2	0
Pediococcus claussenii	8	0
Pediococcus damnosus	1	0
Pediococcus pentosaceus	4	0
Pedobacter sp.	1	0
Pelagibacterium halotolerans	1	0
Pelobacter propionicus	2	0
Peptoclostridium acidaminophilum	1	0
Periwinkle leaf	5	0
Periwinkle little	1	0
Persephonella marina	1	0
Phaeobacter gallaeciensis	7	0
Phaeobacter inhibens	6	0
Phenylobacterium zucineum	1	0
Photobacterium damselae	7	0
Photobacterium profundum	1	0
Photorhabdus asymbiotica	1	0
Phycisphaera mikurensis	1	0
Physarum polycephalum	1	0
Phytobacter ursingii	4	0
Picrophilus oshimae	1	0
Pigeon pea	1	0
Piscirickettsia salmonis	11	0
Planctopirus limnophila	1	0
Planktothrix agardhii	5	0
Planobispora rosea	1	0
Planococcus citreus	2	0
Planococcus kocurii	1	0
Planococcus sp.	3	0
Plasmid pRJF2	1	0
Plautia stali	2	0
Pleurotus ostreatus	1	0
Polaromonas naphthalenivorans	8	0
Polaromonas sp.	2	0
Polymorphum gilvum	1	0
Prevotella dentalis	2	0
Prevotella ruminicola	2	0
Prevotella sp.	1	0
Propionibacterium freudenreichii	2	0
Prosthecochloris aestuarii	1	0
Proteus mirabilis	9	0
Proteus sp.	2	0
Proteus vulgaris	4	0
Providencia alcalifaciens	1	0
Providencia rettgeri	5	0
Providencia sneebia	3	0
Providencia stuartii	3	1
Pseudanabaena sp.	1	0
Pseudarthrobacter chlorophenolicus	2	0
Pseudarthrobacter phenanthrenivorans	2	0
Pseudoalteromonas sp.	5	0
Pseudomonas aeruginosa	11	0
Pseudomonas alcaligenes	1	0
Pseudomonas chlororaphis	1	0
Pseudomonas fluorescens	4	0
Pseudomonas mandelii	1	0
Pseudomonas migulae	1	0
Pseudomonas moraviensis	1	0
Pseudomonas putida	14	0
Pseudomonas resinovorans	2	0
Pseudomonas savastanoi	2	0
Pseudomonas sp.	14	0
Pseudomonas stutzeri	4	0
Pseudomonas syringae	18	0
Pseudonocardia autotrophica	1	0
Pseudonocardia dioxanivorans	2	0
Pseudovibrio sp.	1	0
Psychrobacter cryohalolentis	1	0
Psychrobacter maritimus	1	0
Psychrobacter sp.	18	0
Psychromicrobium lacuslunae	1	0
Pusillimonas sp.	1	0
Pyrobaculum oguniense	1	0
Pyrococcus abyssi	1	0
Pyrococcus sp.	2	0
Pyropia pulchra	2	0
Rahnella aquatilis	8	0
Rahnella inusitata	1	0
Rahnella sp.	10	0
Ralstonia mannitolilytica	1	0
Ralstonia pickettii	6	0
Ralstonia solanacearum	10	0
Raoultella planticola	2	0
Rehmannia glutinosa	1	0
Rhizobium etli	19	0
Rhizobium favelukesii	3	0
Rhizobium freirei	2	0
Rhizobium gallicum	3	0
Rhizobium leguminosarum	23	0
Rhizobium phaseoli	1	0
Rhizobium sp.	8	0
Rhizobium tropici	3	0
Rhodobacter blasticus	1	0
Rhodobacter capsulatus	1	0
Rhodobacter sphaeroides	23	0
Rhodococcus aetherivorans	3	0
Rhodococcus erythropolis	10	0
Rhodococcus fascians	1	0
Rhodococcus hoagii	5	0
Rhodococcus jostii	3	0
Rhodococcus opacus	19	0
Rhodococcus pyridinivorans	2	0
Rhodococcus rhodochrous	1	0
Rhodococcus sp.	3	0
Rhodoferax ferrireducens	1	0
Rhodopseudomonas palustris	2	0
Rhodospirillum rubrum	1	0
Rhodothermus marinus	4	0
Rhodovulum sulfidophilum	2	0
Rickettsia africae	1	0
Rickettsia amblyommatis	8	0
Rickettsia australis	2	0
Rickettsia endosymbiont	3	0
Rickettsia felis	3	0
Rickettsia helvetica	1	0
Rickettsia massiliae	2	0
Rickettsia monacensis	1	0
Rickettsia peacockii	1	0
Rickettsia rhipicephali	3	0
Rickettsiales bacterium	2	0
Riemerella anatipestifer	5	0
Rivularia sp.	2	0
Roseobacter denitrificans	4	0
Roseobacter litoralis	3	0
Rubrobacter radiotolerans	3	0
Ruegeria pomeroyi	1	0
Ruegeria sp.	4	0
Ruminococcus albus	4	0
Ruminococcus flavefaciens	1	0
Runella slithyformis	5	0
Saccharomonospora glauca	1	0
Saccharomyces cerevisiae	70	0
Salinibacter ruber	5	0
Salmonella bongori	1	0
Salmonella enterica	157	19
Salmonella sp.	5	0
Saprospira grandis	1	0
Sebaldella termitidis	2	0
Sedimenticola thiotaurini	1	0
Selenomonas ruminantium	16	0
Serratia entomophila	1	0
Serratia liquefaciens	1	0
Serratia marcescens	13	0
Serratia plymuthica	1	0
Serratia proteamaculans	1	0
Serratia sp.	1	0
Shewanella baltica	17	0
Shewanella oneidensis	1	0
Shewanella sp.	3	0
Shigella boydii	7	0
Shigella dysenteriae	3	0
Shigella flexneri	15	0
Shigella sonnei	18	0
Shigella sp.	2	0
Simkania negevensis	1	0
Singulisphaera acidiphila	3	0
Sinorhizobium fredii	7	0
Sinorhizobium medicae	3	0
Sinorhizobium meliloti	23	0
Sinorhizobium sp.	1	0
Sodalis glossinidius	9	0
Sodalis praecaptivus	1	0
Solibacillus silvestris	1	0
Sphingobium chlorophenolicum	1	0
Sphingobium chungbukense	1	0
Sphingobium fuliginis	1	0
Sphingobium japonicum	3	0
Sphingobium sp.	7	0
Sphingobium wenxiniae	1	0
Sphingobium xenophagum	1	0
Sphingobium yanoikuyae	2	0
Sphingomonas hengshuiensis	1	0
Sphingomonas sanxanigenens	1	0
Sphingomonas sp.	15	0
Sphingomonas taxi	2	0
Sphingomonas wittichii	2	0
Sphingopyxis alaskensis	1	0
Sphingopyxis fribergensis	1	0
Sphingopyxis macrogoltabida	8	0
Sphingopyxis sp.	1	0
Spiroplasma citri	7	0
Spiroplasma kunkelii	3	0
Spiroplasma melliferum	2	0
Spiroplasma taiwanense	1	0
Spirosoma linguale	8	0
Spongiibacter sp.	1	0
Sporosarcina ureae	1	0
Stanieria cyanosphaera	5	0
Staphylococcus argenteus	1	0
Staphylococcus arlettae	1	0
Staphylococcus aureus	150	0
Staphylococcus capitis	1	0
Staphylococcus chromogenes	4	0
Staphylococcus epidermidis	20	0
Staphylococcus haemolyticus	5	0
Staphylococcus hyicus	5	0
Staphylococcus lentus	1	0
Staphylococcus lugdunensis	1	0
Staphylococcus pasteuri	1	0
Staphylococcus saprophyticus	5	0
Staphylococcus sciuri	3	0
Staphylococcus simulans	7	0
Staphylococcus sp.	2	0
Staphylococcus warneri	12	0
Staphylococcus xylosus	1	0
Stenotrophomonas maltophilia	2	0
Streptobacillus moniliformis	1	0
Streptococcus agalactiae	7	0
Streptococcus dysgalactiae	3	0
Streptococcus gallolyticus	1	0
Streptococcus infantarius	1	0
Streptococcus infantis	1	0
Streptococcus macedonicus	1	0
Streptococcus mutans	4	0
Streptococcus oralis	1	0
Streptococcus parasanguinis	2	0
Streptococcus pneumoniae	4	0
Streptococcus pseudopneumoniae	1	0
